text,font_size,bold,alignment,x,y,casing,page,label
Age,9.7,1,left,343.4770812988281,464.05853271484375,title,1,Body
Relationship,9.7,1,left,444.5849609375,464.05853271484375,title,1,Body
1.,9.7,1,left,103.62838745117188,476.2390747070313,lower,1,Body
2.,9.7,1,left,103.62838745117188,488.47802734375,lower,1,Body
3.,9.7,1,left,103.62838745117188,500.6585083007813,lower,1,Body
4.,9.7,1,left,103.62838745117188,512.9559326171875,lower,1,Body
5.,9.7,1,left,103.62838745117188,529.4532470703125,lower,1,Body
6.,9.7,1,left,103.62838745117188,541.6921997070312,lower,1,Body
12. Amount of advance required.,9.7,1,left,70.02969360351562,567.0081787109375,lower,1,Body
Rs.,9.7,0,centered,304.39227294921875,561.1322631835938,title,1,Body
I declare that the particulars furnished above are true and correct to the best of my knowledge.  I,9.7,0,centered,105.07057189941406,596.8357543945312,lower,1,Body
undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,9.7,0,centered,70.0296630859375,608.5387573242188,lower,1,Body
In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,9.7,0,centered,105.0802764892578,632.061767578125,lower,1,Body
"advance, I undertake to refund the entire advance in one lump sum.",9.7,0,left,70.0394287109375,643.8232421875,lower,1,Body
Date,9.7,1,left,70.0394287109375,678.9810180664062,title,1,Body
Signature of Government Servant.,9.7,1,left,403.0445556640625,690.7425537109375,lower,1,Body
Overview,24.0,1,centered,252.6499938964844,189.6200256347656,title,1,Body
Foundation Level Extensions,24.0,1,centered,139.3459930419922,244.84402465820312,title,1,Body
Version 1.0,12.0,0,centered,275.69000244140625,382.4300231933594,title,1,Body
International Software Testing Qualifications Board,18.0,0,centered,103.33999633789062,465.6999816894531,title,1,Body
Copyright Notice,10.0,0,left,70.94400024414062,652.2861938476562,title,1,Body
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",10.0,0,centered,70.94400024414062,663.8099365234375,lower,1,Body
International,10.0,0,left,447.9100036621094,38.62621307373047,title,2,Body
Overview,12.0,0,left,74.42400360107422,41.58000183105469,title,2,Body
Software Testing,10.0,0,left,437.9500122070313,50.14617156982422,title,2,Body
Foundation Level Extension – Agile Tester,10.0,0,left,74.42400360107422,58.42620086669922,title,2,Body
Qualifications,10.0,0,left,430.75,61.66619110107422,title,2,Body
Board,10.0,0,left,493.54779052734375,61.66619110107422,title,2,Body
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,10.0,0,centered,70.94400024414062,120.36620330810548,lower,2,Body
Version 2014,10.0,0,left,76.58135986328125,718.683349609375,title,2,Body
Page 2 of 12,10.0,0,centered,270.1639404296875,718.683349609375,lower,2,Body
"May 31, 2014",10.0,0,left,471.5750732421875,718.683349609375,title,2,Body
© International Software Testing Qualifications Board,6.0,0,left,76.58399963378906,736.8900146484375,title,2,Body
Qualifications Board,10.0,0,left,430.75,61.66619110107422,title,3,Body
International,10.0,0,left,447.9100036621094,38.62621307373047,title,3,Body
Overview,12.0,0,left,74.42400360107422,41.58000183105469,title,3,Body
Software Testing,10.0,0,left,437.9500122070313,50.14617156982422,title,3,Body
Foundation Level Extension – Agile Tester,10.0,0,left,74.42400360107422,58.42620086669922,title,3,Body
Revision History,16.0,1,left,70.94400024414062,108.93620300292967,title,3,H1
Version,10.0,1,left,74.42400360107422,139.44622802734375,title,3,Body
Date,10.0,1,left,146.4199981689453,139.44622802734375,title,3,Body
Remarks,10.0,1,centered,278.69000244140625,139.44622802734375,title,3,Body
0.1,10.0,0,left,74.42400360107422,151.80621337890625,lower,3,Body
18 JUNE 2013,10.0,0,left,146.4199981689453,151.80621337890625,upper,3,Body
Initial version,10.0,0,centered,278.69000244140625,151.80621337890625,lower,3,Body
0.2,10.0,0,left,74.42400360107422,164.04620361328125,lower,3,Body
23 JULY 2013,10.0,0,left,146.4199981689453,164.04620361328125,upper,3,Body
WG reviewed and confirmed,10.0,0,centered,278.69000244140625,164.04620361328125,lower,3,Body
0.3,10.0,0,left,74.42400360107422,176.28619384765625,lower,3,Body
6 NOV 2013,10.0,0,left,146.4199981689453,176.28619384765625,upper,3,Body
amended population and diagram,10.0,0,centered,278.69000244140625,176.28619384765625,lower,3,Body
0.7,10.0,0,left,74.42400360107422,188.52618408203125,lower,3,Body
11 DEC 2013,10.0,0,left,146.4199981689453,188.52618408203125,upper,3,Body
Amended Business Outcomes and Chapters matching,10.0,0,left,278.69000244140625,188.52618408203125,lower,3,Body
0.8,10.0,0,left,74.42400360107422,200.7662353515625,lower,3,Body
20 DEC 2013,10.0,0,left,146.4199981689453,200.7662353515625,upper,3,Body
Working group updates on 0.7,10.0,0,centered,278.69000244140625,200.7662353515625,lower,3,Body
1.0,10.0,0,left,74.42400360107422,213.0062255859375,lower,3,Body
31 MAY 2014,10.0,0,left,146.4199981689453,213.0062255859375,upper,3,Body
GA release for Agile Extension,10.0,0,centered,278.69000244140625,213.0062255859375,lower,3,Body
Version 2014,10.0,0,left,76.58399963378906,718.6875610351562,title,3,Body
Page 3 of 12,10.0,0,centered,270.16656494140625,718.6875610351562,lower,3,Body
"May 31, 2014",10.0,0,left,471.5776977539063,718.6875610351562,title,3,Body
© International Software Testing Qualifications Board,6.0,0,left,76.58399963378906,736.8900146484375,title,3,Body
..........................................................................................................................................,10.0,1,centered,151.81919860839844,144.7261962890625,lower,4,Body
........................................................................................................................................,10.0,1,centered,157.3370361328125,162.1263427734375,lower,4,Body
............................................................................,10.0,1,left,322.97186279296875,179.64599609375,lower,4,Body
...............................................................,10.0,1,left,358.8677062988281,197.1656494140625,lower,4,Body
.....................................................................................................................,10.0,0,left,195.8623504638672,214.8048095703125,lower,4,Body
............................................................................................................,10.0,0,left,221.818115234375,226.32855224609372,lower,4,Body
...................................................................................................................,10.0,0,left,201.6291961669922,237.76263427734372,lower,4,Body
...................................................................................................................,10.0,0,left,201.6291961669922,249.286376953125,lower,4,Body
...................................................................................................,10.0,0,left,247.74398803710935,260.81011962890625,lower,4,Body
......................................................................................................................,10.0,0,left,192.99386596679688,272.3338317871094,lower,4,Body
.........................................,10.0,1,left,414.0759887695313,289.73394775390625,lower,4,Body
.................................................................................................................,10.0,0,left,201.6192321777344,307.37310791015625,lower,4,Body
....................................................................................................................................,10.0,0,centered,146.89898681640625,318.7773132324219,lower,4,Body
..........................................................................................................................................,10.0,1,centered,146.3013916015625,336.17742919921875,lower,4,Body
.............................................................................................................................,10.0,0,centered,167.0679931640625,353.81658935546875,lower,4,Body
.......................................................................................................,10.0,0,left,230.46339416503903,365.3403015136719,lower,4,Body
International,10.0,0,left,447.9100036621094,38.62621307373047,title,4,Body
Overview,12.0,0,left,74.42400360107422,41.58000183105469,title,4,Body
Software Testing,10.0,0,left,437.9500122070313,50.14617156982422,title,4,Body
Foundation Level Extension – Agile Tester,10.0,0,left,74.42400360107422,58.42620086669922,title,4,Body
Qualifications,10.0,0,left,430.75,61.66619110107422,title,4,Body
Board,10.0,0,left,493.54779052734375,61.66619110107422,title,4,Body
Table of Contents,16.0,1,left,70.94400024414062,108.93620300292967,lower,4,H1
Revision History,10.0,1,left,70.94400024414062,144.7261962890625,title,4,H1
3,10.0,1,left,535.1795654296875,144.7261962890625,lower,4,Body
Table of Contents,10.0,1,left,70.9439697265625,162.1263427734375,lower,4,H1
4,10.0,1,left,535.1795654296875,162.1263427734375,lower,4,Body
1.,10.0,1,left,70.9439697265625,179.64599609375,lower,4,Body
Introduction to the Foundation Level Extensions,10.0,1,left,90.98348999023438,179.64599609375,lower,4,Body
6,10.0,1,left,535.1795654296875,179.64599609375,lower,4,Body
2.,10.0,1,left,70.9439697265625,197.1656494140625,lower,4,Body
Introduction to Foundation Level Agile Tester Extension,10.0,1,left,90.98348999023438,197.1656494140625,lower,4,Body
7,10.0,1,left,535.1795654296875,197.1656494140625,lower,4,Body
2.1,10.0,0,left,80.90396118164062,214.8048095703125,lower,4,Body
Intended Audience,10.0,0,left,110.90348815917967,214.8048095703125,title,4,Body
7,10.0,0,left,535.1795654296875,214.8048095703125,lower,4,Body
2.2,10.0,0,left,80.90396118164062,226.32855224609372,lower,4,Body
Career Paths for Testers,10.0,0,left,110.90348815917967,226.32855224609372,lower,4,Body
7,10.0,0,left,535.1895141601562,226.32855224609372,lower,4,Body
2.3,10.0,0,left,80.91390991210938,237.76263427734372,lower,4,Body
Learning Objectives,10.0,0,left,110.91343688964844,237.76263427734372,title,4,Body
7,10.0,0,left,535.1895141601562,237.76263427734372,lower,4,Body
2.4,10.0,0,left,80.91390991210938,249.286376953125,lower,4,Body
Entry Requirements,10.0,0,left,110.91343688964844,249.286376953125,title,4,Body
8,10.0,0,left,535.1895141601562,249.286376953125,lower,4,Body
2.5,10.0,0,left,80.91390991210938,260.81011962890625,lower,4,Body
Structure and Course Duration,10.0,0,left,110.91343688964844,260.81011962890625,lower,4,Body
8,10.0,0,left,535.1895141601562,260.81011962890625,lower,4,Body
2.6,10.0,0,left,80.91390991210938,272.3338317871094,lower,4,Body
Keeping It Current,10.0,0,left,110.91343688964844,272.3338317871094,title,4,Body
9,10.0,0,left,535.1895141601562,272.3338317871094,lower,4,Body
3.,10.0,1,left,70.95391845703125,289.73394775390625,lower,4,Body
Overview of the Foundation Level Extension – Agile Tester Syllabus,10.0,1,left,90.99343872070312,289.73394775390625,lower,4,Body
10,10.0,1,left,529.542236328125,289.73394775390625,lower,4,Body
3.1,10.0,0,left,80.90402221679688,307.37310791015625,lower,4,Body
Business Outcomes,10.0,0,left,110.90354919433594,307.37310791015625,title,4,Body
10,10.0,0,left,529.542236328125,307.37310791015625,lower,4,Body
3.2,10.0,0,left,80.90402221679688,318.7773132324219,lower,4,Body
Content,10.0,0,left,110.90354919433594,318.7773132324219,title,4,Body
10,10.0,0,left,529.542236328125,318.7773132324219,lower,4,Body
4.,10.0,1,left,70.94400024414062,336.17742919921875,lower,4,Body
References,10.0,1,left,90.9835205078125,336.17742919921875,title,4,H1
12,10.0,1,left,529.542236328125,336.17742919921875,lower,4,Body
4.1,10.0,0,left,80.90402221679688,353.81658935546875,lower,4,Body
Trademarks,10.0,0,left,110.90354919433594,353.81658935546875,title,4,Body
12,10.0,0,left,529.55224609375,353.81658935546875,lower,4,Body
4.2,10.0,0,left,80.91403198242188,365.3403015136719,lower,4,Body
Documents and Web Sites,10.0,0,left,110.91355895996094,365.3403015136719,lower,4,Body
12,10.0,0,left,529.55224609375,365.3403015136719,lower,4,Body
Version 2014,10.0,0,left,76.601318359375,718.711181640625,title,4,Body
Page 4 of 12,10.0,0,centered,270.18389892578125,718.711181640625,lower,4,Body
"May 31, 2014",10.0,0,left,471.5950317382813,718.711181640625,title,4,Body
© International Software Testing Qualifications Board,6.0,0,left,76.58399963378906,736.8900146484375,title,4,Body
International,10.0,0,left,447.9100036621094,38.62621307373047,title,5,Body
Overview,12.0,0,left,74.42400360107422,41.58000183105469,title,5,Body
Software Testing,10.0,0,left,437.9500122070313,50.14617156982422,title,5,Body
Foundation Level Extension – Agile Tester,10.0,0,left,74.42400360107422,58.42620086669922,title,5,Body
Qualifications,10.0,0,left,430.75,61.66619110107422,title,5,Body
Board,10.0,0,left,493.54779052734375,61.66619110107422,title,5,Body
Acknowledgements,16.0,0,left,70.94400024414062,108.93620300292967,title,5,H1
This document was produced by a team from the International Software Testing Qualifications Board,10.0,0,centered,70.94400024414062,144.84619140625,lower,5,Body
Foundation Level Working Group.,10.0,0,left,70.94400024414062,156.2503662109375,title,5,Body
The Agile Extension team thanks the review team and the National Boards for their suggestions and input.,10.0,0,centered,70.94400024414062,179.287841796875,lower,5,Body
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working",10.0,0,centered,70.94400024414062,202.3253173828125,lower,5,Body
"Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry",10.0,0,centered,70.94400024414062,213.7294921875,lower,5,Body
"Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes",10.0,0,centered,70.94400024414062,225.25323486328125,title,5,Body
"and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead).",10.0,0,centered,70.94400024414062,236.80682373046875,lower,5,Body
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon",10.0,0,centered,70.94400024414062,259.84429931640625,title,5,Body
"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.",10.0,0,left,70.94400024414062,271.3680114746094,lower,5,Body
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra",10.0,0,centered,70.94400024414062,294.2859802246094,title,5,Body
"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula",10.0,0,centered,70.94400024414062,305.8096923828125,title,5,Body
"Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen,",10.0,0,centered,70.94400024414062,317.3334045410156,title,5,Body
"Robert Treffny, Chris Van Bael, and Erik van Veenendaal.",10.0,0,left,70.94400024414062,328.85711669921875,lower,5,Body
"The team thanks also the following persons, from the National Boards and the Agile expert community,",10.0,0,centered,70.94400024414062,351.77508544921875,lower,5,Body
"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani",10.0,0,centered,70.94400024414062,363.2987976074219,lower,5,Body
"Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes,",10.0,0,centered,70.94400024414062,374.8226318359375,title,5,Body
"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill",10.0,0,centered,70.94400024414062,386.36627197265625,title,5,Body
"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter",10.0,0,centered,70.94400024414062,397.8899841308594,title,5,Body
"Morgan, Ninna Morin, Ingvar Nordstrom, Chris O’Dea, Klaus Olsen, Ismo Paukamainen, Nathalie Phung,",10.0,0,left,70.94400024414062,409.4136962890625,title,5,Body
"Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik",10.0,0,centered,70.9439697265625,420.8179016113281,title,5,Body
"Sandberg, Dakar Shalom,  Jian Shen, Marco Sogliani, Lucjan Stapp, Yaron Tsubery, Sabine Uhde,",10.0,0,centered,70.9439697265625,432.3416137695313,title,5,Body
"Stephanie Ulrich, Tommi Välimäki, Jurian Van de Laar, Marnix Van den Ent, António Vieira Melo, Wenye",10.0,0,centered,70.9439697265625,443.8653259277344,lower,5,Body
"Xu, Ester Zabar, Wenqiang Zheng, Peter Zimmerer, Stevan Zivanovic, and Terry Zuo.",10.0,0,centered,70.9439697265625,455.3890380859375,lower,5,Body
"This document was formally approved for release by the General Assembly of the ISTQB® on May 31,",10.0,0,centered,70.9439697265625,478.3069763183594,lower,5,Body
2014.,10.0,0,left,70.94400024414062,489.8306884765625,lower,5,Body
Version 2014,10.0,0,left,76.58135986328125,718.7413940429688,title,5,Body
Page 5 of 12,10.0,0,centered,270.1639404296875,718.7413940429688,lower,5,Body
"May 31, 2014",10.0,0,left,471.5750732421875,718.7413940429688,title,5,Body
© International Software Testing Qualifications Board,6.0,0,left,76.58399963378906,736.8900146484375,title,5,Body
Qualifications Board,10.0,0,left,430.75,61.66619110107422,title,6,Body
International,10.0,0,left,447.9100036621094,38.62621307373047,title,6,Body
Overview,12.0,0,left,74.42400360107422,41.58000183105469,title,6,Body
Software Testing,10.0,0,left,437.9500122070313,50.14617156982422,title,6,Body
Foundation Level Extension – Agile Tester,10.0,0,left,74.42400360107422,58.42620086669922,title,6,Body
1. Introduction to the Foundation Level Extensions,16.0,0,left,70.94400024414062,122.97618103027344,lower,6,H1
This overview document is intended for anyone with an interest in the ISTQB Foundation Level,10.0,0,centered,70.94400024414062,146.28619384765625,lower,6,Body
Extensions who wants a high-level introduction to the leading principles and an overview of the individual,10.0,0,centered,70.94400024414062,157.8099365234375,lower,6,Body
extension syllabi.,10.0,0,left,70.94398498535156,169.33367919921875,lower,6,Body
"From time to time, ISTQB will update this document to reflect any additional extensions that shall be",10.0,0,centered,70.94398498535156,192.25164794921875,lower,6,Body
"introduced for the Foundation Level, or to reflect major changes in existing ones. Publications of the",10.0,0,centered,70.94398498535156,203.775390625,lower,6,Body
updated document will be available on the ISTQB website.,10.0,0,left,70.94398498535156,215.29913330078125,lower,6,Body
The ISTQB Foundation and Advanced Level syllabi have been defined and have been on the market for,10.0,0,centered,70.94398498535156,238.36651611328125,lower,6,Body
some time. New topics emerge due to technology and methodology changes in the market which often,10.0,0,centered,70.94398498535156,249.77069091796875,lower,6,Body
"are brought into the ISTQB program as new Expert Level syllabi. However, not all topics are suited for the",10.0,0,centered,70.94398498535156,261.29443359375,lower,6,Body
"Expert Level. For this reason, the extension syllabi are established at the Foundation Level to expand the",10.0,0,centered,70.94400024414062,272.8181457519531,lower,6,Body
ISTQB program to incorporate new or updated knowledge. New extensions shall be discussed and,10.0,0,centered,70.94400024414062,284.34185791015625,lower,6,Body
"introduced by the ISTQB periodically. Extensions may be established at the Advanced Level as well, but",10.0,0,centered,70.94400024414062,295.8655700683594,lower,6,Body
that is beyond the scope of this document.,10.0,0,left,70.94400787353516,307.3892822265625,lower,6,Body
The following Foundation Level Extension syllabus has been released:,10.0,0,left,70.94400787353516,330.3072509765625,lower,6,Body
,10.0,0,left,88.95169067382812,341.5520935058594,lower,6,Body
Agile Tester,10.0,0,left,106.94940948486328,342.548095703125,title,6,Body
"In this document, each Foundation Level Extension syllabus is summarized and the associated Business",10.0,0,centered,70.95396423339844,365.466064453125,lower,6,Body
Outcomes are stated. The Business Outcomes communicate what can be expected from a person who,10.0,0,centered,70.95396423339844,376.9897766113281,lower,6,Body
"achieves a Foundation Level Extension Certification in a particular subject area (e.g., Agile Tester), and",10.0,0,centered,70.95396423339844,388.5334167480469,lower,6,Body
will outline the benefits for companies that are considering the development of specific testing skills at this,10.0,0,centered,70.95396423339844,400.05712890625,lower,6,Body
level.,10.0,0,left,70.95396423339844,411.5808410644531,lower,6,Body
Version 2014,10.0,0,left,76.59132385253906,718.727294921875,title,6,Body
Page 6 of 12,10.0,0,centered,270.17388916015625,718.727294921875,lower,6,Body
"May 31, 2014",10.0,0,left,471.58502197265625,718.727294921875,title,6,Body
© International Software Testing Qualifications Board,6.0,0,left,76.58399963378906,736.8900146484375,title,6,Body
Qualifications Board,10.0,0,left,430.75,61.66619110107422,title,7,Body
International,10.0,0,left,447.9100036621094,38.62621307373047,title,7,Body
Overview,12.0,0,left,74.42400360107422,41.58000183105469,title,7,Body
Software Testing,10.0,0,left,437.9500122070313,50.14617156982422,title,7,Body
Foundation Level Extension – Agile Tester,10.0,0,left,74.42400360107422,58.42620086669922,title,7,Body
2. Introduction to Foundation Level Agile Tester Extension,16.0,0,left,70.94400024414062,122.97618103027344,lower,7,H1
The certification for Foundation Level Extension – Agile Tester is designed for professionals who are,10.0,0,left,70.94400024414062,146.28619384765625,lower,7,Body
working within Agile environments. It is also for professionals who are planning to start implementing,10.0,0,centered,70.94401550292969,157.8099365234375,lower,7,Body
"Agile methods in the near future, or are working within companies that plan to do so, The certification",10.0,0,centered,70.94401550292969,169.33367919921875,lower,7,Body
"provides an advantage for those who would like to know the required Agile activities, roles, methods, and",10.0,0,centered,70.95401000976562,180.857421875,lower,7,Body
methodologies specific to their role.,10.0,0,left,70.95401000976562,192.2615966796875,lower,7,Body
2.1 Intended Audience,14.0,0,left,70.94400024414062,217.35379028320312,title,7,H2
The Foundation Level Extension – Agile Tester qualification is aimed at four main groups of professionals:,10.0,0,left,70.94400024414062,240.876220703125,lower,7,Body
1. Professionals who have achieved in-depth testing experience in traditional methods and would,10.0,0,centered,88.94172668457031,252.39996337890625,lower,7,Body
like to get an Agile Tester Certificate.,10.0,0,left,106.939453125,263.9237060546875,lower,7,Body
"2. Junior professional testers who are just starting in the testing profession, have received the",10.0,0,centered,88.94173431396484,275.4474182128906,lower,7,Body
"Foundation Level certificate, and would like to know more about the tester’s role in an Agile",10.0,0,centered,106.93946075439452,286.9711303710937,lower,7,Body
environment.,10.0,0,left,106.94940185546876,298.3753356933594,lower,7,Body
"3. Professionals who are relatively new to testing and are required to implement test approaches,",10.0,0,centered,88.9516830444336,309.8990478515625,lower,7,Body
methods and techniques in their day to day job in Agile projects.,10.0,0,left,106.95936584472656,321.4227600097656,lower,7,Body
4. Professionals who are experienced in their role (including unit testing) and need more,10.0,0,centered,88.9616470336914,332.94647216796875,lower,7,Body
understanding and knowledge about how to perform and manage testing on all levels in Agile,10.0,0,centered,106.9593734741211,344.4701843261719,lower,7,Body
projects.,10.0,0,left,106.9593734741211,355.993896484375,lower,7,Body
"These professionals include people who are in roles such as testers, test analysts, test engineers, test",10.0,0,centered,70.96392822265625,378.911865234375,lower,7,Body
"consultants, test managers, user acceptance testers, and software developers.",10.0,0,left,70.973876953125,390.45550537109375,lower,7,Body
This Foundation Level Extension – Agile Tester certification may also be appropriate for anyone who,10.0,0,left,70.973876953125,413.4929809570313,lower,7,Body
"wants a deeper understanding of software testing in the Agile world, such as project managers, quality",10.0,0,centered,70.973876953125,425.0166931152344,lower,7,Body
"managers, software development managers, business analysts, IT directors, and management",10.0,0,centered,70.973876953125,436.4208984375,lower,7,Body
consultants.,10.0,0,left,70.97390747070312,447.9446105957031,lower,7,Body
2.2 Career Paths for Testers,14.0,0,left,70.94400024414062,484.5238037109375,lower,7,H2
"Building on the Foundation Level, the Agile Tester Extension supports the definition of career paths for",10.0,0,centered,70.94400024414062,508.0162353515625,lower,7,Body
professional testers. A person with the Agile Tester certificate has extended the broad understanding of,10.0,0,centered,70.94400024414062,519.5399169921875,lower,7,Body
testing acquired at the Foundation Level to enable him or her to work effectively as a professional tester in,10.0,0,centered,70.94400024414062,531.0635986328125,lower,7,Body
an Agile project.,10.0,0,left,70.9539794921875,542.4678344726562,lower,7,Body
People possessing an ISTQB Foundation Level Extension – Agile Tester certificate may use the Certified,10.0,0,left,70.96394348144531,565.53515625,lower,7,Body
Tester Foundation Level acronym CTFL-AT.,10.0,0,left,70.96392822265625,577.0588989257812,lower,7,Body
2.3 Learning Objectives,14.0,0,left,70.94400024414062,613.673828125,title,7,H2
"In general, the Foundation Level syllabus is examinable at a K1 level, i.e., the candidate will recognize,",10.0,0,centered,70.94400024414062,637.1661987304688,lower,7,Body
remember and recall terms and concepts stated in the Foundation Level syllabus.,10.0,0,left,70.94400024414062,648.68994140625,lower,7,Body
"In addition, all Foundation Level syllabus learning objectives are examinable at the same K- level in an",10.0,0,centered,70.94400024414062,671.6078491210938,lower,7,Body
extension exam.,10.0,0,left,70.94400024414062,683.1216430664062,lower,7,Body
Version 2014,10.0,0,left,76.58135986328125,718.6888427734375,title,7,Body
Page 7 of 12,10.0,0,centered,270.1639404296875,718.6888427734375,lower,7,Body
"May 31, 2014",10.0,0,left,471.5750732421875,718.6888427734375,title,7,Body
© International Software Testing Qualifications Board,6.0,0,left,76.58399963378906,736.8900146484375,title,7,Body
Qualifications Board,10.0,0,left,430.75,61.66619110107422,title,8,Body
International,10.0,0,left,447.9100036621094,38.62621307373047,title,8,Body
Overview,12.0,0,left,74.42400360107422,41.58000183105469,title,8,Body
Software Testing,10.0,0,left,437.9500122070313,50.14617156982422,title,8,Body
Foundation Level Extension – Agile Tester,10.0,0,left,74.42400360107422,58.42620086669922,title,8,Body
"That said, each extension level exam focuses on the learning objectives defined in that extension",10.0,0,centered,70.94400024414062,108.84618377685548,lower,8,Body
"syllabus. The relevant learning objectives at K1, K2, and K3 levels are provided at the beginning of each",10.0,0,centered,70.94398498535156,120.36992645263672,lower,8,Body
chapter within each particular extension syllabus.,10.0,0,left,70.94398498535156,131.8936767578125,lower,8,Body
2.4 Entry Requirements,14.0,0,left,70.94400024414062,156.99380493164062,title,8,H2
"To be able to participate in a Foundation Level Extension – Agile Tester exam, candidates must have",10.0,0,left,70.94400024414062,180.4862060546875,lower,8,Body
obtained the ISTQB Foundation Level certificate.,10.0,0,left,70.94400024414062,192.00994873046875,lower,8,Body
2.5 Structure and Course Duration,14.0,0,left,70.94400024414062,217.11380004882807,lower,8,H2
The Foundation Level Extension – Agile Tester syllabus has no shared or common elements with the,10.0,0,left,70.94400024414062,240.63623046875,lower,8,Body
Foundation Level syllabus.,10.0,0,left,70.94400024414062,252.15997314453125,lower,8,Body
The syllabi must be taught in the following minimum number of days:,10.0,0,left,70.94400024414062,275.07794189453125,lower,8,Body
Syllabus,10.0,1,left,212.2100067138672,301.4761962890625,title,8,Body
